imobiliaria,cod_imob,tipo,cod_tipo,bairro,cod_bairro,dist_centro,n_quartos,n_banheiros,n_suite,n_vagas,area_construida,preco_aluguel
LongattiImoveis,3,Apt,1,Centro,5,0,3,1,0,0,96.1,3000
Krasis,2,Apt,1,Bonfim,3,3.2,3,1,0,2,,850
Krasis,2,Apt,1,Bonfim,3,3.2,3,2,0,1,,1300
Krasis,2,Apt,1,Centro,5,0,4,1,0,0,,1350
Krasis,2,Apt,1,Centro,5,0,2,2,0,0,,1500
Krasis,2,Apt,1,Centro,5,0,2,2,0,0,,2500
Krasis,2,Apt,1,Centro,5,0,3,1,0,0,,1400
Krasis,2,Apt,1,Centro,5,0,2,1,0,0,,780
Krasis,2,Apt,1,Centro,5,0,3,1,0,0,,2000
Krasis,2,Apt,1,Centro,5,0,3,1,0,0,,1800
Krasis,2,Apt,1,Fabricas,9,1.4,2,1,1,0,,1100
Krasis,2,Apt,1,Fabricas,9,1.4,3,2,0,0,,1300
Krasis,2,Apt,1,Fabricas,9,1.4,3,1,1,0,,1000
Krasis,2,Apt,1,Fabricas,9,1.4,1,1,0,0,,860
Krasis,2,Apt,1,Matozinhos,12,2.4,2,1,0,0,,1200
Krasis,2,Apt,1,Matozinhos,12,2.4,2,1,0,0,,850
Krasis,2,Apt,1,Matozinhos,12,2.4,4,2,1,1,,1500
Krasis,2,Apt,1,Matozinhos,12,2.4,2,1,0,0,,850
Krasis,2,Apt,1,SaoJudasTadeu,18,1.6,2,1,1,1,,1150
Krasis,2,Apt,1,SaoJudasTadeu,18,1.6,2,1,0,1,,1200
Krasis,2,Apt,1,VilaBelizario,22,1.5,3,1,1,1,,1500
Krasis,2,Apt,1,VilaBelizario,22,1.5,3,1,1,1,,1190
Krasis,2,Apt,1,VilaJoaoLombardi,23,2.4,3,1,1,1,,1200
FlavioVitorImoveis,1,Apt,1,BelaVista,2,2.3,2,1,0,0,,690
FlavioVitorImoveis,1,Apt,1,Centro,5,0,4,2,1,0,,1500
FlavioVitorImoveis,1,Apt,1,ColoniadoMarcal,7,7.0,2,1,0,1,,700
FlavioVitorImoveis,1,Apt,1,ColoniadoMarcal,7,7.0,3,1,0,2,,1300
FlavioVitorImoveis,1,Apt,1,DomBosco,8,2.8,1,1,0,0,,650
FlavioVitorImoveis,1,Apt,1,DomBosco,8,2.8,2,1,1,1,,1300
FlavioVitorImoveis,1,Apt,1,Fabricas,9,1.4,3,1,1,1,,1100
FlavioVitorImoveis,1,Apt,1,Fabricas,9,1.4,2,1,0,0,,1000
FlavioVitorImoveis,1,Apt,1,Fabricas,9,1.4,2,1,0,0,,700
FlavioVitorImoveis,1,Apt,1,Matozinhos,12,2.4,2,1,0,1,,550
FlavioVitorImoveis,1,Apt,1,Matozinhos,12,2.4,3,2,0,1,,860
FlavioVitorImoveis,1,Apt,1,Matozinhos,12,2.4,2,1,0,0,,900
FlavioVitorImoveis,1,Apt,1,ParqueReal,13,1.7,3,1,1,2,,900
FlavioVitorImoveis,1,Apt,1,SolardaSerra,20,7.1,3,1,0,1,,800
FlavioVitorImoveis,1,Apt,1,VilaBelizario,22,1.5,3,1,1,2,183,1400
FlavioVitorImoveis,1,Apt,1,VilaMarchetti,24,0.8,3,2,1,2,,2400
FlavioVitorImoveis,1,Apt,1,VilaTiradentes,28,3,2,1,0,1,,1200
FlavioVitorImoveis,1,Apt,1,VilaTiradentes,28,3,2,1,0,1,,1350
LongattiImoveis,3,Apt,1,Bonfim,3,3.2,3,1,0,0,80,990
LongattiImoveis,3,Apt,1,Bonfim,3,3.2,2,1,0,1,60,750
LongattiImoveis,3,Apt,1,Centro,5,0,3,1,1,1,110,2350
LongattiImoveis,3,Apt,1,Centro,5,0,2,1,1,0,67,1100
LongattiImoveis,3,Apt,1,Centro,5,0,5,1,1,0,130,3000
LongattiImoveis,3,Apt,1,Centro,5,0,4,1,0,0,,1800
LongattiImoveis,3,Apt,1,ColoniadoMarcal,7,7.0,3,1,1,0,100,990
LongattiImoveis,3,Apt,1,Fabricas,9,1.4,3,1,0,0,80,1100
LongattiImoveis,3,Apt,1,Matozinhos,12,2.4,3,1,1,0,130,1500
LongattiImoveis,3,Apt,1,Matozinhos,12,2.4,1,1,0,0,,1000
LongattiImoveis,3,Apt,1,SantaCruzdeMinas,15,4.7,2,1,0,0,170,1100
LongattiImoveis,3,Apt,1,SaoCaetano,16,2.5,3,1,0,0,69.62,880
LongattiImoveis,3,Apt,1,SaoCaetano,16,2.5,2,1,1,1,54,820
LongattiImoveis,3,Apt,1,SaoGeraldo,17,2.5,3,1,0,0,104.62,890
LongattiImoveis,3,Apt,1,VilaBelizario,22,1.5,3,3,1,2,125,2350
LongattiImoveis,3,Apt,1,VilaBelizario,22,1.5,3,2,1,1,,1500
LongattiImoveis,3,Apt,1,VilaBelizario,22,1.5,3,2,1,1,,1500
LongattiImoveis,3,Apt,1,VilaSantaTerezinha,26,2.5,3,1,1,0,129,1320
LongattiImoveis,3,Apt,1,VilaSantaTerezinha,26,2.5,3,1,1,1,80,1200
LongattiImoveis,3,Apt,1,VilaSaoBento,27,3.5,2,1,0,0,,900
Zanfer,4,Apt,1,AguaLimpa,1,12.8,3,1,1,2,,1400
Zanfer,4,Apt,1,Bonfim,3,3.2,3,3,1,2,,1750
Zanfer,4,Apt,1,Fabricas,9,1.4,2,2,0,0,110,1100
Zanfer,4,Apt,1,Tejuco,21,3.6,3,2,1,0,,1200
Zanfer,4,Apt,1,VilaMarchetti,24,0.8,2,3,1,2,110,1200
Zanfer,4,Apt,1,VilaTiradentes,28,3,2,1,0,1,65,1500
Zanfer,4,Apt,1,Matozinhos,12,2.4,2,2,0,0,,850
FlavioVitorImoveis,1,Casa,2,Caieiras,4,0.8,3,1,1,2,190,1800
FlavioVitorImoveis,1,Casa,2,Centro,5,0,3,1,0,0,,1400
FlavioVitorImoveis,1,Casa,2,ColoniadoMarcal,7,7.0,5,4,2,4,,7000
FlavioVitorImoveis,1,Casa,2,ColoniadoMarcal,7,7.0,2,1,0,1,52,650
FlavioVitorImoveis,1,Casa,2,ColoniadoMarcal,7,7.0,2,2,1,1,,1350
FlavioVitorImoveis,1,Casa,2,ColoniadoMarcal,7,7.0,2,1,0,1,,850
FlavioVitorImoveis,1,Casa,2,SolardaSerra,20,7.1,3,1,1,1,,1200
Krasis,2,Casa,2,Bonfim,3,3.2,2,2,0,0,,1200
Krasis,2,Casa,2,Centro,5,0,4,2,0,0,,8000
Krasis,2,Casa,2,Centro,5,0,2,1,0,0,,1300
Krasis,2,Casa,2,Centro,5,0,3,1,2,1,,1800
Krasis,2,Casa,2,Matozinhos,12,2.4,2,1,0,0,,550
Krasis,2,Casa,2,Matozinhos,12,2.4,3,1,0,0,,850
Krasis,2,Casa,2,PioXII,14,3.9,2,1,1,1,,1300
Krasis,2,Casa,2,Solardaserra,20,7.1,2,1,1,1,,1000
Krasis,2,Casa,2,Tejuco,21,3.6,3,1,1,2,,2500
Krasis,2,Casa,2,VilaNossaSenhoradeFatima,25,2.5,3,1,0,0,,700
LongattiImoveis,3,Casa,2,BomPastor,29,2.8,3,1,0,2,,1000
LongattiImoveis,3,Casa,2,Bonfim,3,3.2,3,1,1,1,97,1200
LongattiImoveis,3,Casa,2,Centro,5,0,3,2,0,0,92,1400
LongattiImoveis,3,Casa,2,Centro,5,0,4,2,0,0,210,3800
LongattiImoveis,3,Casa,2,Centro,5,0,2,1,0,0,80,650
LongattiImoveis,3,Casa,2,Centro,5,0,7,3,0,1,380,12000
LongattiImoveis,3,Casa,2,Centro,5,0,5,3,2,1,120,5500
LongattiImoveis,3,Casa,2,Centro,5,0,2,1,0,0,110,1100
LongattiImoveis,3,Casa,2,Centro,5,0,5,2,0,0,242,5000
LongattiImoveis,3,Casa,2,CidadeVerde,6,3.7,3,2,1,1,103,1700
LongattiImoveis,3,Casa,2,Fabricas,9,1.4,2,2,0,1,70,850
LongattiImoveis,3,Casa,2,Guarda-Mor,10,1.9,5,3,2,2,,3000
LongattiImoveis,3,Casa,2,SantaCruzdeMinas,15,4.7,3,1,1,1,122,900
LongattiImoveis,3,Casa,2,SantaCruzdeMinas,15,4.7,3,1,1,1,110,1500
LongattiImoveis,3,Casa,2,Segredo,19,0.8,2,1,0,0,90,1000
LongattiImoveis,3,Casa,2,VilaMarchetti,24,0.8,3,1,0,1,95.1,1350
Zanfer,4,Casa,2,BelaVista,2,2.3,2,1,0,0,,800
Zanfer,4,Casa,2,BomPastor,29,2.8,2,1,0,1,,550
Zanfer,4,Casa,2,Bonfim,3,3.2,2,1,0,1,,800
Zanfer,4,Casa,2,Centro,5,0,1,1,0,0,,1100
Zanfer,4,Casa,2,Centro,5,0,3,1,1,0,,1500
Zanfer,4,Casa,2,ColoniadoMarcal,7,7.0,2,1,0,0,,750
Zanfer,4,Casa,2,Fabricas,9,1.4,3,2,0,2,115,1100
Zanfer,4,Casa,2,Lobao,11,3.7,2,2,1,1,,1000
Zanfer,4,Casa,2,Matozinhos,12,2.4,2,1,0,0,,830
Zanfer,4,Casa,2,VilaSantaTerezinha,26,2.5,1,1,0,0,,550
Zanfer,4,Casa ,2,Guarda-Mor,10,1.9,3,3,2,1,,1700
Krasis,2,Kitnet,3,Centro,5,0,1,1,0,0,,600
LongattiImoveis,3,Kitnet,3,Caieiras,4,0.8,1,1,0,1,,700
LongattiImoveis,3,Kitnet,3,Caieiras,4,0.8,1,1,0,1,,800
LongattiImoveis,3,Kitnet,3,Centro,5,0,1,1,0,0,25,1200
LongattiImoveis,3,Kitnet,3,ColoniadoMarcal,7,7.0,2,1,0,0,0,600
LongattiImoveis,3,Kitnet,3,DomBosco,8,2.8,1,1,0,0,23,650
LongattiImoveis,3,Kitnet,3,DomBosco,8,2.8,1,1,0,0,14,700
LongattiImoveis,3,Kitnet,3,DomBosco,8,2.8,1,1,0,0,16,800
LongattiImoveis,3,Kitnet,3,DomBosco,8,2.8,1,1,0,0,40,1100
LongattiImoveis,3,Kitnet,3,Fabricas,9,1.4,0,1,0,0,28,1000
LongattiImoveis,3,Kitnet,3,Fabricas,9,1.4,1,1,0,0,27,1050
