Imobiliaria,Tipo,Bairro,n_quartos,n_banheiros,n_suite,n_vagas,Area,Preço_Aluguel
Zanfer,1,Agua Limpa,3,1,1,2,,1400
Flavio Vitor Imoveis,1,Bela Vista,2,1,0,0,,690
Zanfer,2,Bela Vista,2,1,0,0,,800
Longatti Imoveis,2,Bom Pastor,3,1,0,2,,1000
Zanfer,2,Bom Pastor,2,1,0,1,,550
Longatti Imoveis,2,Bonfim,3,1,1,1,97,1200
Longatti Imoveis,1,Bonfim,3,1,0,0,80,990
Longatti Imoveis,1,Bonfim,2,1,0,1,60,750
Krasis,1,Bonfim,3,1,0,2,,850
Krasis,1,Bonfim,3,2,0,1,,1300
Krasis,2,Bonfim,2,2,0,0,,1200
Zanfer,2,Bonfim,2,1,0,1,,800
Zanfer,1,Bonfim,3,3,1,2,,1750
Longatti Imoveis,3,Caieiras,1,1,0,1,,700
Longatti Imoveis,3,Caieiras,1,1,0,1,,800
Flavio Vitor Imoveis,2,Caieiras,3,1,1,2,190,1800
Longatti Imoveis,2,Centro,3,2,0,0,92,1400
Longatti Imoveis,2,Centro,4,2,0,0,210,3800
Longatti Imoveis,2,Centro,2,1,0,0,80,650
Longatti Imoveis,2,Centro,7,3,0,10,380,12000
Longatti Imoveis,1,Centro,3,1,1,1,110,2350
Longatti Imoveis,3,Centro,1,1,0,0,25,1200
Longatti Imoveis,2,Centro,5,3,2,1,120,5500
Longatti Imoveis,2,Centro,2,1,0,0,110,1100
Longatti Imoveis,1,Centro,2,1,1,0,67,1100
Longatti Imoveis,1,Centro,5,1,1,0,130,3000
Longatti Imoveis,1,Centro,3,1,0,0,96.1,3000
Longatti Imoveis,2,Centro,5,2,0,0,242,5000
Longatti Imoveis,1,Centro,4,1,0,0,,1800
Krasis,2,Centro,4,2,0,0,,8000
Krasis,2,Centro,2,1,0,0,,1300
Krasis,1,Centro,4,1,0,0,,1350
Krasis,1,Centro,2,2,0,0,,1500
Krasis,2,Centro,3,1,2,1,,1800
Krasis,3,Centro,1,1,0,0,,600
Krasis,1,Centro,2,2,0,0,,2500
Krasis,1,Centro,3,1,0,0,,1400
Krasis,1,Centro,2,1,0,0,,780
Krasis,1,Centro,3,1,0,0,,2000
Krasis,1,Centro,3,1,0,0,,1800
Flavio Vitor Imoveis,2,Centro,3,1,0,0,,1400
Flavio Vitor Imoveis,1,Centro,4,2,1,0,,1500
Zanfer,2,Centro,1,1,0,0,,1100
Zanfer,2,Centro,3,1,1,0,,1500
Longatti Imoveis,2,Cidade Verde,3,2,1,1,103,1700
Longatti Imoveis,1,Colonia do Marcal,3,1,1,0,100,990
Flavio Vitor Imoveis,2,Colonia do Marcal,5,4,2,4,,7000
Flavio Vitor Imoveis,2,Colonia do Marcal,2,1,0,1,52,650
Flavio Vitor Imoveis,2,Colonia do Marcal,2,2,1,1,,1350
Flavio Vitor Imoveis,1,Colonia do Marcal,2,1,0,1,,700
Flavio Vitor Imoveis,1,Colonia do Marcal,3,1,0,2,,1300
Flavio Vitor Imoveis,2,Colonia do Marcal,2,1,0,1,,850
Zanfer,2,Colonia do Marcal,2,1,0,0,,750
Longatti Imoveis,3,Colonia do Marcal,2,1,0,0,0,600
Longatti Imoveis,3,Dom Bosco,1,1,0,0,23,650
Longatti Imoveis,3,Dom Bosco,1,1,0,0,14,700
Longatti Imoveis,3,Dom Bosco,1,1,0,0,16,800
Longatti Imoveis,3,Dom Bosco,1,1,0,0,40,1100
Flavio Vitor Imoveis,1,Dom Bosco,1,1,0,0,,650
Flavio Vitor Imoveis,1,Dom Bosco,2,1,1,1,,1300
Zanfer,3,Dom Bosco,1,1,0,0,,650
Longatti Imoveis,3,Fabricas,0,1,0,0,28,1000
Longatti Imoveis,3,Fabricas,1,1,0,0,27,1050
Longatti Imoveis,2,Fabricas,2,2,0,1,70,850
Longatti Imoveis,3,Fabricas,1,1,0,0,220,770
Longatti Imoveis,3,Fabricas,1,1,0,0,220,770
Longatti Imoveis,1,Fabricas,3,1,0,0,80,1100
Krasis,1,Fabricas,2,1,1,0,,1100
Krasis,1,Fabricas,3,2,0,0,,1300
Krasis,1,Fabricas,3,1,1,0,,1000
Krasis,1,Fabricas,1,1,0,0,,860
Flavio Vitor Imoveis,1,Fabricas,3,1,1,1,,1100
Flavio Vitor Imoveis,1,Fabricas,2,1,0,0,,1000
Flavio Vitor Imoveis,1,Fabricas,2,1,0,0,,700
Zanfer,2,Fabricas,3,2,0,2,115,1100
Zanfer,1,Fabricas,2,2,0,0,110,1100
Longatti Imoveis,3,Guarda-Mor,2,1,0,0,55,600
Longatti Imoveis,2,Guarda-Mor,5,3,2,2,,3000
Zanfer,2,Guarda-Mor,3,3,2,1,,1700
Zanfer,2,Lobao,2,2,1,1,,1000
Longatti Imoveis,1,Matozinhos,3,1,1,0,130,1500
Longatti Imoveis,1,Matozinhos,1,1,0,0,,1000
Krasis,1,Matozinhos,2,1,0,0,,1200
Krasis,2,Matozinhos,2,1,0,0,,550
Krasis,1,Matozinhos,2,1,0,0,,850
Krasis,1,Matozinhos,4,2,1,1,,1500
Krasis,2,Matozinhos,3,1,0,0,,850
Krasis,1,Matozinhos,2,1,0,0,,850
Flavio Vitor Imoveis,1,Matozinhos,2,1,0,1,,550
Flavio Vitor Imoveis,1,Matozinhos,3,2,0,1,,860
Flavio Vitor Imoveis,1,Matozinhos,2,1,0,0,,900
Zanfer,2,Matozinhos,2,1,0,0,,830
Zanfer ,1,Matozinhos,2,2,0,0,,850
Flavio Vitor Imoveis,1,Parque Real,3,1,1,2,,900
Krasis,2,Pio XII,2,1,1,1,,1300
Longatti Imoveis,2,Santa Cruz de Minas,3,1,1,1,122,900
Longatti Imoveis,1,Santa Cruz de Minas,2,1,0,0,170,1100
Longatti Imoveis,2,Santa Cruz de Minas,3,1,1,1,110,1500
Longatti Imoveis,1,Sao Caetano,3,1,0,0,69.62,880
Longatti Imoveis,1,Sao Caetano,2,1,1,1,54,820
Longatti Imoveis,1,Sao Geraldo,3,1,0,0,104.62,890
Longatti Imoveis,3,Sao Judas Tadeu,1,1,1,0,,550
Krasis,1,Sao Judas Tadeu,2,1,1,1,,1150
Krasis,1,Sao Judas Tadeu,2,1,0,1,,1200
