Imobiliaria;Tipo;Bairro;n_quartos;n_banheiros;n_suite;n_vagas;Area;Preço_Aluguel
Zanfer;Apt;Agua Limpa;3;1;1;2;;1400
Flavio Vitor Imoveis;Apt;Bela Vista;2;1;0;0;;690
Zanfer;Casa;Bela Vista;2;1;0;0;;800
Longatti Imoveis;Casa;Bom Pastor;3;1;0;2;;1000
Zanfer;Casa;Bom Pastor;2;1;0;1;;550
Longatti Imoveis;Casa;Bonfim;3;1;1;1;97;1200
Longatti Imoveis;Apt;Bonfim;3;1;0;0;80;990
Longatti Imoveis;Apt;Bonfim;2;1;0;1;60;750
Krasis;Apartamento;Bonfim;3;1;0;2;;850
Krasis;Apartamento;Bonfim;3;2;0;1;;1300
Krasis;Casa;Bonfim;2;2;0;0;;1200
Zanfer;Casa;Bonfim;2;1;0;1;;800
Zanfer;Apt;Bonfim;3;3;1;2;;1750
Longatti Imoveis;Kitnet;Caieiras;1;1;0;1;;700
Longatti Imoveis;Kitnet;Caieiras;1;1;0;1;;800
Flavio Vitor Imoveis;Casa;Caieiras;3;1;1;2;190;1800
Longatti Imoveis;Casa;Centro;3;2;0;0;92;1400
Longatti Imoveis;Casa;Centro;4;2;0;0;210;3800
Longatti Imoveis;Casa;Centro;2;1;0;0;80;650
Longatti Imoveis;Casa;Centro;7;3;0;10;380;12000
Longatti Imoveis;Apt;Centro;3;1;1;1;110;2350
Longatti Imoveis;Kitnet;Centro;1;1;0;0;25;1200
Longatti Imoveis;Casa;Centro;5;3;2;1;120;5500
Longatti Imoveis;Casa;Centro;2;1;0;0;110;1100
Longatti Imoveis;Apt;Centro;2;1;1;0;67;1100
Longatti Imoveis;Apt;Centro;5;1;1;0;130;3000
Longatti Imoveis;Aluguel;Centro;3;1;0;0;96.1;3000
Longatti Imoveis;Casa;Centro;5;2;0;0;242;5000
Longatti Imoveis;Apt;Centro;4;1;0;0;;1800
Krasis;Casa;Centro;4;2;0;0;;8000
Krasis;Casa;Centro;2;1;0;0;;1300
Krasis;Apartamento;Centro;4;1;0;0;;1350
Krasis;Apartamento;Centro;2;2;0;0;;1500
Krasis;Casa;Centro;3;1;2;1;;1800
Krasis;Kitnet;Centro;1;1;0;0;;600
Krasis;Apartamento;Centro;2;2;0;0;;2500
Krasis;Apartamento;Centro;3;1;0;0;;1400
Krasis;Apartamento;Centro;2;1;0;0;;780
Krasis;Apartamento;Centro;3;1;0;0;;2000
Krasis;Apartamento;Centro;3;1;0;0;;1800
Flavio Vitor Imoveis;Casa;Centro;3;1;0;0;;1400
Flavio Vitor Imoveis;Apt;Centro;4;2;1;0;;1500
Zanfer;Casa;Centro;1;1;0;0;;1100
Zanfer;Casa;Centro;3;1;1;0;;1500
Longatti Imoveis;Casa;Cidade Verde;3;2;1;1;103;1700
Longatti Imoveis;Apt;Colonia do Marcal;3;1;1;0;100;990
Flavio Vitor Imoveis;Casa;Colonia do Marcal;5;4;2;4;;7000
Flavio Vitor Imoveis;Casa;Colonia do Marcal;2;1;0;1;52;650
