Imobiliaria,Tipo,Bairro,n_quartos,n_banheiros,n_suite,n_vagas,Area,Preço_Aluguel
4,1,1,3,1,1,2,,1400
1,1,2,2,1,0,0,,690
4,2,2,2,1,0,0,,800
2,2,29,3,1,0,2,,1000
4,2,29,2,1,0,1,,550
2,2,3,3,1,1,1,97,1200
2,1,3,3,1,0,0,80,990
2,1,3,2,1,0,1,60,750
3,1,3,3,1,0,2,,850
3,1,3,3,2,0,1,,1300
3,2,3,2,2,0,0,,1200
4,2,3,2,1,0,1,,800
4,1,3,3,3,1,2,,1750
2,3,4,1,1,0,1,,700
2,3,4,1,1,0,1,,800
1,2,4,3,1,1,2,190,1800
2,2,5,3,2,0,0,92,1400
2,2,5,4,2,0,0,210,3800
2,2,5,2,1,0,0,80,650
2,2,5,7,3,0,10,380,12000
2,1,5,3,1,1,1,110,2350
2,3,5,1,1,0,0,25,1200
2,2,5,5,3,2,1,120,5500
2,2,5,2,1,0,0,110,1100
2,1,5,2,1,1,0,67,1100
2,1,5,5,1,1,0,130,3000
2,1,5,3,1,0,0,96.1,3000
2,2,5,5,2,0,0,242,5000
2,1,5,4,1,0,0,,1800
3,2,5,4,2,0,0,,8000
3,2,5,2,1,0,0,,1300
3,1,5,4,1,0,0,,1350
3,1,5,2,2,0,0,,1500
3,2,5,3,1,2,1,,1800
3,3,5,1,1,0,0,,600
3,1,5,2,2,0,0,,2500
3,1,5,3,1,0,0,,1400
3,1,5,2,1,0,0,,780
3,1,5,3,1,0,0,,2000
3,1,5,3,1,0,0,,1800
1,2,5,3,1,0,0,,1400
1,1,5,4,2,1,0,,1500
4,2,5,1,1,0,0,,1100
4,2,5,3,1,1,0,,1500
2,2,6,3,2,1,1,103,1700
2,1,7,3,1,1,0,100,990
1,2,7,5,4,2,4,,7000
1,2,7,2,1,0,1,52,650
1,2,7,2,2,1,1,,1350
1,1,7,2,1,0,1,,700
1,1,7,3,1,0,2,,1300
1,2,7,2,1,0,1,,850
4,2,7,2,1,0,0,,750
2,3,7,2,1,0,0,0,600
2,3,8,1,1,0,0,23,650
2,3,8,1,1,0,0,14,700
2,3,8,1,1,0,0,16,800
2,3,8,1,1,0,0,40,1100
1,1,8,1,1,0,0,,650
1,1,8,2,1,1,1,,1300
4,3,8,1,1,0,0,,650
2,3,9,0,1,0,0,28,1000
2,3,9,1,1,0,0,27,1050
2,2,9,2,2,0,1,70,850
2,3,9,1,1,0,0,220,770
2,3,9,1,1,0,0,220,770
2,1,9,3,1,0,0,80,1100
3,1,9,2,1,1,0,,1100
3,1,9,3,2,0,0,,1300
3,1,9,3,1,1,0,,1000
3,1,9,1,1,0,0,,860
1,1,9,3,1,1,1,,1100
1,1,9,2,1,0,0,,1000
1,1,9,2,1,0,0,,700
4,2,9,3,2,0,2,115,1100
4,1,9,2,2,0,0,110,1100
2,3,10,2,1,0,0,55,600
2,2,10,5,3,2,2,,3000
4,2,10,3,3,2,1,,1700
4,2,11,2,2,1,1,,1000
2,1,12,3,1,1,0,130,1500
2,1,12,1,1,0,0,,1000
3,1,12,2,1,0,0,,1200
3,2,12,2,1,0,0,,550
3,1,12,2,1,0,0,,850
3,1,12,4,2,1,1,,1500
3,2,12,3,1,0,0,,850
3,1,12,2,1,0,0,,850
1,1,12,2,1,0,1,,550
1,1,12,3,2,0,1,,860
1,1,12,2,1,0,0,,900
4,2,12,2,1,0,0,,830
4,1,12,2,2,0,0,,850
1,1,13,3,1,1,2,,900
3,2,14,2,1,1,1,,1300
2,2,15,3,1,1,1,122,900
2,1,15,2,1,0,0,170,1100
2,2,15,3,1,1,1,110,1500
2,1,16,3,1,0,0,69.62,880
2,1,16,2,1,1,1,54,820
2,1,17,3,1,0,0,104.62,890
2,3,18,1,1,1,0,,550
3,1,18,2,1,1,1,,1150
3,1,18,2,1,0,1,,1200
2,2,19,2,1,0,0,90,1000
3,2,20,2,1,1,1,,1000
1,2,20,3,1,1,1,,1200
1,1,20,3,1,0,1,,800
3,2,21,3,1,1,2,,2500
4,1,21,3,2,1,0,,1200
2,3,22,1,1,0,1,16,550
2,1,22,3,3,1,2,125,2350
2,1,22,3,2,1,1,,1500
2,1,22,3,2,1,1,,1500
3,1,22,3,1,1,1,,1500
3,1,22,3,1,1,1,,1190
1,1,22,3,1,1,2,183,1400
3,1,23,3,1,1,1,,1200
2,2,24,3,1,0,1,95.1,1350
1,1,24,3,2,1,2,,2400
4,1,24,2,3,1,2,110,1200
3,2,25,3,1,0,0,,700
2,1,26,3,1,1,0,129,1320
2,1,26,3,1,1,1,80,1200
2,1,27,2,1,0,0,,900
4,2,26,1,1,0,0,,550
1,1,28,2,1,0,1,,1200
1,1,28,2,1,0,1,,1350
4,1,28,2,1,0,1,65,1500
