massa,comprimento,largura,espessura,variedade
0.21,9.82,6.21,4.25,carioca
0.26,10.71,7.14,5.23,carioca
0.27,10.25,6.67,5.71,carioca
0.23,9.74,6.4,4.89,carioca
0.32,11.8,6.89,5.21,carioca
0.28,11.32,6.93,5.26,carioca
0.33,11.11,7,5.78,carioca
0.24,9.76,6.29,5.29,carioca
0.22,10.94,6.7,4.3,carioca
0.23,9.16,6.42,5.39,carioca
0.3,10.78,6.71,5.99,carioca
0.33,11.51,7.18,5.33,carioca
0.31,11.93,7.02,6.24,carioca
0.29,9.99,7.11,5.58,carioca
0.33,11.31,7.28,5.95,carioca
0.33,12.3,7.38,5.55,carioca
0.23,9.93,6.5,5.02,carioca
0.21,10.67,6.48,4.78,carioca
0.29,10.67,6.77,5.71,carioca
0.2,10.21,5.97,4.66,carioca
0.31,10.7,7.44,5.51,carioca
0.31,11.54,7.09,5.78,carioca
0.35,11.3,7.25,6.11,carioca
0.18,10.42,6.31,4.57,carioca
0.33,12,7.19,5.83,carioca
0.34,11.87,6.7,6.02,carioca
0.21,10.5,6.6,4.49,carioca
0.26,10.58,6.88,5.42,carioca
0.33,11.67,7.45,5.19,carioca
0.22,10.34,6.56,5.09,carioca
0.32,10.81,7.3,5.88,carioca
0.21,8.48,6.54,4.97,carioca
0.28,11.04,6.83,5.38,carioca
0.29,11.26,6.81,5.27,carioca
0.29,10.93,7.04,5.33,carioca
0.28,11.33,7.26,5.2,carioca
0.24,10.57,6.49,4.99,carioca
0.28,10.77,6.84,4.83,carioca
0.22,9.67,6.26,5.05,carioca
0.22,9.3,6.69,5.23,carioca
0.26,9.68,6.7,5.17,carioca
0.3,11.28,7.39,4.97,carioca
0.19,9.61,6.29,4.8,carioca
0.23,10.56,6.51,5.07,carioca
0.29,10.38,7.05,5.31,carioca
0.2,9.49,6.69,4.96,carioca
0.31,10.61,6.88,5.51,carioca
0.36,10.71,7.26,6.48,carioca
0.22,10.42,6.62,4.69,carioca
0.23,9.4,6.76,5.05,carioca
0.2,10.96,6.49,4.99,vermelho
0.29,11.12,6.84,5.47,vermelho
0.21,10.11,6.28,4.78,vermelho
0.22,10.6,6.87,4.51,vermelho
0.23,11.23,6.64,4.49,vermelho
0.15,9.35,6.53,3.37,vermelho
0.27,11.27,6.17,5.08,vermelho
0.19,10.02,6.49,4.6,vermelho
0.21,10.88,6.29,4.72,vermelho
0.24,10.76,6.2,4.7,vermelho
0.24,10.62,6.55,4.96,vermelho
0.27,11.64,6.57,4.92,vermelho
0.27,11.15,6.54,5.3,vermelho
0.25,10.91,6.31,4.97,vermelho
0.17,10.31,6.6,3.85,vermelho
0.24,10.77,6.31,4.67,vermelho
0.29,11.39,6.41,5.16,vermelho
0.19,10.51,6.21,4.43,vermelho
0.21,9.96,5.81,4.85,vermelho
0.26,10.87,6.86,4.92,vermelho
0.2,10.42,6.62,5.72,vermelho
0.16,10.04,5.83,4.21,vermelho
0.2,10.5,6.06,4.6,vermelho
0.28,11.81,6.65,5.1,vermelho
0.27,11.13,6.52,5.17,vermelho
0.23,11.2,6.57,4.79,vermelho
0.28,11.09,6.76,5.08,vermelho
0.18,10.22,6.23,4.06,vermelho
0.19,10.03,5.91,4.84,vermelho
0.27,11.67,6.54,5.52,vermelho
0.27,11.84,6.96,4.87,vermelho
0.24,10.75,6.17,5.23,vermelho
0.15,9.86,6.25,3.87,vermelho
0.22,10.34,6.89,4.69,vermelho
0.22,11,6.26,4.81,vermelho
0.2,10.41,5.39,4.93,vermelho
0.18,10.4,6.1,4.35,vermelho
0.23,11.09,6.73,4.71,vermelho
0.23,11.53,6.57,4.82,vermelho
0.21,10.69,6.63,4.72,vermelho
0.25,11.29,6.82,5.16,vermelho
0.24,10.98,6.35,4.87,vermelho
0.25,11.42,6.69,4.73,vermelho
0.27,11.21,6.81,5.35,vermelho
0.28,12.09,7.26,4.99,vermelho
0.25,10.9,6.31,4.94,vermelho
0.16,9.42,6.6,3.65,vermelho
0.24,10.47,6.51,4.85,vermelho
0.22,10.5,6.03,5.01,vermelho
0.25,11.66,6.31,5,vermelho
